Êý¾Ý×éÊý,ÎÀÐÇPRNºÅ,ÀúÔª,ÎÀÐÇÖÓÆ«²î(s),ÎÀÐÇÖÓÆ¯ÒÆ(s/s),ÎÀÐÇÖÓÆ¯ÒÆËÙ¶È(s/s*s),IODE,C_rs,n,M0,C_uc,e,C_us,sqrt_A,TEO,C_ic,OMEGA,C_is,I_0,C_rc,w,OMEGA_DOT,IDOT,L2_code,PS_week_num,L2_P_code,ÎÀÐÇ¾«¶È(m),ÎÀÐÇ½¡¿µ×´Ì¬,TGD,IODC,X,Y,Z
1,C01,2025 02 24 00 00 00,-0.0003411640645936,4.061639913289e-12,0.0,1.0,575.65625,-7.561386390665e-09,-0.4319533050461,1.881364732981e-05,0.0005750440759584,-4.00235876441e-06,6493.409900665,86400.0,-1.210719347e-08,-2.837924584984,2.132728695869e-07,0.0860392695495,125.75,-0.4728507555148,8.711791452511e-09,-3.457286867018e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
2,C01,2025 02 24 01 00 00,-0.0003411490470171,4.113154261631e-12,0.0,1.0,416.96875,-7.761394721815e-09,-0.169207249304,1.377472653985e-05,0.000577840488404,-1.24629586935e-05,6493.416658401,90000.0,1.140870153904e-07,-2.591027369707,1.494772732258e-07,0.09236196052639,384.265625,-0.7199578732038,8.865369278215e-09,-1.446488823494e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
3,C01,2025 02 24 02 00 00,-0.0003411339130253,4.14779322e-12,0.0,1.0,201.75,-7.22815822466e-09,0.09340048021919,6.774440407753e-06,0.0005777061451226,-1.728720963001e-05,6493.41629982,93600.0,2.011656761169e-07,-2.358499544379,7.543712854385e-08,0.09817456415323,529.390625,-0.9526326179323,8.335347200668e-09,3.785871982478e-11,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
4,C01,2025 02 24 03 00 00,-0.0003411192446947,4.121147867409e-12,0.0,1.0,-13.078125,-6.145255974578e-09,0.3583391473381,-3.175809979439e-07,0.0005750443087891,-1.832284033298e-05,6493.409021378,97200.0,2.412125468254e-07,-2.136662679023,4.19095158577e-08,0.1031958812427,558.234375,-1.177017721273,7.300304086968e-09,1.900079145923e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
5,C01,2025 02 24 04 00 00,-0.0003411044599488,4.109601547952e-12,0.0,1.0,-201.359375,-4.908061583323e-09,0.6256343896921,-6.602145731449e-06,0.0005720414919779,-1.616589725018e-05,6493.399185181,100800.0,2.258457243443e-07,-1.922513705647,5.122274160385e-09,0.1072140519985,490.390625,-1.396131936625,6.127040930134e-09,3.217991185107e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
6,C01,2025 02 24 05 00 00,-0.0003410897916183,4.090949801139e-12,0.0,1.0,-354.6875,-3.726226640868e-09,0.8922543710045,-1.174444332719e-05,0.0005705195944756,-1.176400110126e-05,6493.39242363,104400.0,1.774169504642e-07,-1.713586796831,-5.075708031654e-08,0.1100755753524,355.671875,-1.609395670475,4.988779231251e-09,4.37161066656e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
7,C01,2025 02 24 06 00 00,-0.0003410750068724,4.100719763755e-12,0.0,1.0,-469.578125,-2.71011288708e-09,1.154267785669,-1.556472852826e-05,0.0005705455550924,-6.150919944048e-06,6493.39308548,108000.0,1.261942088604e-07,-1.507794549878,-1.27125531435e-07,0.1116782986608,186.171875,-1.814948998037,3.965879480513e-09,5.353794435599e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
8,C01,2025 02 24 07 00 00,-0.0003410602221265,4.098943406916e-12,0.0,1.0,-534.484375,-1.809718239172e-09,1.410868028934,-1.768535003066e-05,0.0005706214578822,-1.313164830208e-07,6493.401210785,111600.0,8.475035429001e-08,-1.303277468635,-1.941807568073e-07,0.111967144521,5.34375,-2.013827510239,3.010839699273e-09,6.128826718805e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
9,C01,2025 02 24 08 00 00,-0.0003410453209653,4.11759515373e-12,0.0,1.0,-535.484375,-9.136094840736e-10,1.664236990448,-1.765927299857e-05,0.0005694341380149,5.70435076952e-06,6493.414093018,115200.0,4.377216100693e-08,-1.098268671367,-2.253800630569e-07,0.1109321124249,-169.75,-2.20996185145,2.029727403436e-09,6.664563320099e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
10,C01,2025 02 24 09 00 00,-0.0003410304198042,4.131806008445e-12,0.0,1.0,-460.78125,5.143071372424e-11,1.918360055511,-1.511955633759e-05,0.0005669954698533,1.096911728382e-05,6493.426998138,118800.0,-6.519258022308e-09,-0.8909654860487,-2.244487404823e-07,0.1086080417666,-328.421875,-2.409122074862,9.793265071657e-10,6.971718971508e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
