time,satellite,pseudo_range,carrier_phase,doppler,signal_strength
2025-02-24T00:00:30.000,G29,23913382.914,125665600.58,-6947.016,37.0
2025-02-24T00:00:30.000,G26,20126901.852,105767494.705,-2404.484,49.0
2025-02-24T00:00:30.000,G04,23299244.266,122438331.369,13127.203,34.0
2025-02-24T00:00:30.000,G27,23694814.914,124517024.37,15252.453,37.0
2025-02-24T00:00:30.000,G31,20900001.594,109830195.463,-2047.438,47.0
2025-02-24T00:00:30.000,G03,22654683.383,119051106.151,-4114.906,41.0
2025-02-24T00:00:30.000,G16,20442211.625,107424494.92,6020.578,46.0
2025-02-24T00:00:30.000,G32,22801035.883,119820142.706,-12204.719,42.0
2025-02-24T00:00:30.000,G28,21925395.664,115218694.103,-4919.594,44.0
2025-02-24T00:00:30.000,R04,20941325.758,112139848.108,11723.234,47.0
2025-02-24T00:00:30.000,R02,21991617.422,117351364.914,-16537.109,44.0
2025-02-24T00:00:30.000,R03,19293306.102,103278512.34,-3550.281,50.0
2025-02-24T00:00:30.000,R14,20534495.031,109460557.42,2923.438,47.0
2025-02-24T00:00:30.000,R13,20923209.859,111728758.352,-8764.203,42.0
2025-02-24T00:00:30.000,C16,36738176.805,191305605.036,1091.203,45.0
2025-02-24T00:00:30.000,C06,36558672.242,190370854.799,1008.453,45.0
2025-02-24T00:00:30.000,C13,39284315.516,204564121.27,-8117.0,37.0
2025-02-24T00:00:30.000,C04,38748069.742,201771312.107,-150.766,35.0
2025-02-24T00:00:30.000,C01,37789798.469,196781371.031,-90.578,39.0
2025-02-24T00:00:30.000,C03,36658423.063,190890057.539,-161.547,41.0
2025-02-24T00:00:30.000,C05,39456769.828,205461638.363,-93.406,33.0
2025-02-24T00:00:30.000,C02,37449389.953,195008790.755,-247.547,37.0
2025-02-24T00:01:00.000,G29,23923344.898,125717949.57,-7011.531,36.0
2025-02-24T00:01:00.000,G26,20130373.648,105785738.666,-2459.656,48.0
2025-02-24T00:01:00.000,G04,23280523.383,122339951.269,13108.984,34.0
2025-02-24T00:01:00.000,G27,23673049.656,124402648.623,15247.922,37.0
2025-02-24T00:01:00.000,G31,20902941.656,109845642.865,-2071.219,47.0
2025-02-24T00:01:00.000,G03,22660603.414,119082217.257,-4181.188,41.0
2025-02-24T00:01:00.000,G16,20433667.227,107379592.533,5953.625,47.0
2025-02-24T00:01:00.000,G32,22818483.188,119911830.697,-12245.094,41.0
2025-02-24T00:01:00.000,G28,21932431.297,115255667.081,-4939.656,44.0
2025-02-24T00:01:00.000,R04,20924958.164,112052202.931,11649.984,46.0
2025-02-24T00:01:00.000,R02,22014889.227,117475546.029,-16576.922,44.0
2025-02-24T00:01:00.000,R03,19298355.625,103305544.113,-3657.859,50.0
2025-02-24T00:01:00.000,R14,20530413.016,109438794.245,2880.578,48.0
2025-02-24T00:01:00.000,R22,24106998.469,128684738.406,1007.797,32.0
2025-02-24T00:01:00.000,R13,20935526.156,111794538.114,-8776.813,40.0
2025-02-24T00:01:00.000,C16,36736600.172,191297394.32,1099.344,46.0
2025-02-24T00:01:00.000,C06,36557214.719,190363264.797,1015.781,45.0
2025-02-24T00:01:00.000,C13,39296006.594,204624999.711,-8115.375,36.0
2025-02-24T00:01:00.000,C04,38748287.102,201772441.712,-151.0,35.0
2025-02-24T00:01:00.000,C01,37789928.813,196782048.339,-89.609,39.0
2025-02-24T00:01:00.000,C03,36658656.297,190891269.839,-161.172,41.0
2025-02-24T00:01:00.000,C02,37449748.211,195010653.225,-248.297,37.0
2025-02-24T00:01:30.000,G29,23933398.227,125770782.441,-7078.75,35.0
2025-02-24T00:01:30.000,G26,20133923.0,105804391.11,-2516.563,49.0
2025-02-24T00:01:30.000,G04,23261828.734,122241712.157,13086.406,35.0
2025-02-24T00:01:30.000,G27,23651291.398,124288307.053,15240.922,37.0
2025-02-24T00:01:30.000,G31,20905913.922,109861266.029,-2096.922,48.0
2025-02-24T00:01:30.000,G03,22666618.039,119113820.263,-4248.422,40.0
2025-02-24T00:01:30.000,G16,20425216.82,107335187.2,5885.578,45.0
2025-02-24T00:01:30.000,G32,22835988.953,120003822.088,-12288.328,43.0
2025-02-24T00:01:30.000,G28,21939495.828,115292790.764,-4962.578,43.0
2025-02-24T00:01:30.000,R04,20908695.477,111965111.814,11572.516,46.0
