Observation Time,GDOP,PDOP,HDOP,VDOP,TDOP
2025-2-24 1:30:0,2.1823794064401816,1.7381377936844937e-07,1.5507697767341023e-07,7.850070632818931e-08,2.1823794064401745
2025-2-24 1:31:0,2.1823794064402184,1.738137793684554e-07,1.5507697767341486e-07,7.850070632819353e-08,2.1823794064402113
2025-2-24 1:32:0,2.1823794064402344,1.7381377936846e-07,1.5507697767341817e-07,7.850070632819714e-08,2.1823794064402278
2025-2-24 1:32:0,2.1823794064402344,1.7381377936846e-07,1.5507697767341817e-07,7.850070632819714e-08,2.1823794064402278
2025-2-24 1:33:0,2.1823794064402646,1.7381377936846544e-07,1.5507697767342227e-07,7.850070632820111e-08,2.1823794064402575
2025-2-24 1:33:0,2.1823794064402646,1.7381377936846544e-07,1.5507697767342227e-07,7.850070632820111e-08,2.1823794064402575
2025-2-24 1:34:0,2.1823794064403015,1.738137793684714e-07,1.550769776734268e-07,7.850070632820531e-08,2.182379406440295
2025-2-24 1:34:0,2.1823794064403015,1.738137793684714e-07,1.550769776734268e-07,7.850070632820531e-08,2.182379406440295
2025-2-24 1:35:0,2.182379406440334,1.7381377936847708e-07,1.5507697767343114e-07,7.850070632820939e-08,2.182379406440327
2025-2-24 1:35:0,2.182379406440334,1.7381377936847708e-07,1.5507697767343114e-07,7.850070632820939e-08,2.182379406440327
2025-2-24 1:36:0,2.182379406440359,1.7381377936848224e-07,1.5507697767343495e-07,7.850070632821328e-08,2.182379406440352
2025-2-24 1:36:0,2.182379406440359,1.7381377936848224e-07,1.5507697767343495e-07,7.850070632821328e-08,2.182379406440352
2025-2-24 1:37:0,2.1823794064403823,1.738137793684875e-07,1.5507697767343884e-07,7.850070632821726e-08,2.182379406440375
2025-2-24 1:37:0,2.1823794064403823,1.738137793684875e-07,1.5507697767343884e-07,7.850070632821726e-08,2.182379406440375
2025-2-24 1:38:0,2.182379406440424,1.738137793684937e-07,1.5507697767344363e-07,7.85007063282215e-08,2.182379406440417
2025-2-24 1:38:0,2.182379406440424,1.738137793684937e-07,1.5507697767344363e-07,7.85007063282215e-08,2.182379406440417
2025-2-24 1:39:0,2.182379406440454,1.7381377936849937e-07,1.5507697767344787e-07,7.850070632822567e-08,2.1823794064404467
2025-2-24 1:39:0,2.182379406440454,1.7381377936849937e-07,1.5507697767344787e-07,7.850070632822567e-08,2.1823794064404467
2025-2-24 1:40:0,2.182379406440477,1.7381377936850464e-07,1.5507697767345176e-07,7.850070632822962e-08,2.1823794064404702
2025-2-24 1:40:0,2.182379406440477,1.7381377936850464e-07,1.5507697767345176e-07,7.850070632822962e-08,2.1823794064404702
2025-2-24 1:41:0,2.1823794064405115,1.7381377936851038e-07,1.5507697767345613e-07,7.850070632823373e-08,2.1823794064405044
2025-2-24 1:41:0,2.1823794064405115,1.7381377936851038e-07,1.5507697767345613e-07,7.850070632823373e-08,2.1823794064405044
2025-2-24 1:42:0,2.1823794064405346,1.7381377936851544e-07,1.5507697767345986e-07,7.850070632823755e-08,2.1823794064405275
2025-2-24 1:42:0,2.1823794064405346,1.7381377936851544e-07,1.5507697767345986e-07,7.850070632823755e-08,2.1823794064405275
2025-2-24 1:43:0,2.1823794064405737,1.738137793685215e-07,1.5507697767346452e-07,7.850070632824176e-08,2.182379406440567
2025-2-24 1:43:0,2.1823794064405737,1.738137793685215e-07,1.5507697767346452e-07,7.850070632824176e-08,2.182379406440567
2025-2-24 1:44:0,2.182379406440604,1.738137793685272e-07,1.550769776734688e-07,7.850070632824589e-08,2.182379406440597
2025-2-24 1:44:0,2.182379406440604,1.738137793685272e-07,1.550769776734688e-07,7.850070632824589e-08,2.182379406440597
2025-2-24 1:45:0,2.182379406440629,1.738137793685323e-07,1.550769776734726e-07,7.850070632824971e-08,2.182379406440622
2025-2-24 1:45:0,2.182379406440629,1.738137793685323e-07,1.550769776734726e-07,7.850070632824971e-08,2.182379406440622
2025-2-24 1:46:0,2.182379406440664,1.7381377936853836e-07,1.550769776734772e-07,7.850070632825407e-08,2.1823794064406568
2025-2-24 1:46:0,1.0497285591803227,7.59700183292407e-08,7.005270206236434e-08,2.9394942059932403e-08,1.04972855918032
2025-2-24 1:47:0,2.182379406440689,1.7381377936854357e-07,1.5507697767348106e-07,7.850070632825797e-08,2.182379406440682
2025-2-24 1:47:0,2.182379406440689,1.7381377936854357e-07,1.5507697767348106e-07,7.850070632825797e-08,2.182379406440682
2025-2-24 1:48:0,1.0497285591803525,7.597001832924198e-08,7.005270206236562e-08,2.9394942059932638e-08,1.0497285591803498
2025-2-24 1:48:0,1.0497285591803525,7.597001832924198e-08,7.005270206236562e-08,2.9394942059932638e-08,1.0497285591803498
2025-2-24 1:49:0,1.0497285591803664,7.597001832924258e-08,7.005270206236623e-08,2.9394942059932753e-08,1.0497285591803636
2025-2-24 1:49:0,1.0497285591803664,7.597001832924258e-08,7.005270206236623e-08,2.9394942059932753e-08,1.0497285591803636
2025-2-24 1:50:0,1.0497285591803818,7.597001832924325e-08,7.00527020623669e-08,2.939494205993288e-08,1.049728559180379
2025-2-24 1:50:0,1.0497285591803818,7.597001832924325e-08,7.00527020623669e-08,2.939494205993288e-08,1.049728559180379
2025-2-24 1:51:0,1.0497285591803966,7.597001832924389e-08,7.005270206236756e-08,2.9394942059932992e-08,1.049728559180394
2025-2-24 1:51:0,1.0497285591803966,7.597001832924389e-08,7.005270206236756e-08,2.9394942059932992e-08,1.049728559180394
2025-2-24 1:52:0,1.0497285591804126,7.597001832924456e-08,7.005270206236823e-08,2.9394942059933107e-08,1.04972855918041
2025-2-24 1:52:0,1.0497285591804126,7.597001832924456e-08,7.005270206236823e-08,2.9394942059933107e-08,1.04972855918041
2025-2-24 1:53:0,1.0497285591804255,7.597001832924513e-08,7.00527020623688e-08,2.939494205993323e-08,1.0497285591804226
2025-2-24 1:53:0,1.0497285591804255,7.597001832924513e-08,7.00527020623688e-08,2.939494205993323e-08,1.0497285591804226
2025-2-24 1:54:0,1.0497285591804404,7.597001832924577e-08,7.005270206236943e-08,2.9394942059933342e-08,1.0497285591804375
2025-2-24 1:54:0,1.0497285591804404,7.597001832924577e-08,7.005270206236943e-08,2.9394942059933342e-08,1.0497285591804375
2025-2-24 1:55:0,1.0497285591804564,7.597001832924646e-08,7.005270206237014e-08,2.9394942059933468e-08,1.0497285591804535
2025-2-24 1:55:0,1.0497285591804564,7.597001832924646e-08,7.005270206237014e-08,2.9394942059933468e-08,1.0497285591804535
2025-2-24 1:56:0,1.049728559180471,7.597001832924709e-08,7.005270206237077e-08,2.939494205993358e-08,1.0497285591804684
2025-2-24 1:56:0,1.049728559180471,7.597001832924709e-08,7.005270206237077e-08,2.939494205993358e-08,1.0497285591804684
2025-2-24 1:57:0,15.936573556433272,7.710196187633394e-07,7.648204511949993e-07,9.757525276340818e-08,15.936573556433254
2025-2-24 1:57:0,15.936573556433272,7.710196187633394e-07,7.648204511949993e-07,9.757525276340818e-08,15.936573556433254
2025-2-24 1:58:0,15.93657355642788,7.71019618763075e-07,7.648204511947365e-07,9.757525276337828e-08,15.936573556427861
2025-2-24 1:58:0,15.93657355642788,7.71019618763075e-07,7.648204511947365e-07,9.757525276337828e-08,15.936573556427861
2025-2-24 1:59:0,15.936573556426083,7.71019618762984e-07,7.648204511946462e-07,9.75752527633678e-08,15.936573556426065
2025-2-24 1:59:0,15.936573556426083,7.71019618762984e-07,7.648204511946462e-07,9.75752527633678e-08,15.936573556426065
2025-2-24 2:0:0,15.936573556425184,7.710196187629359e-07,7.648204511945983e-07,9.75752527633625e-08,15.936573556425166
2025-2-24 2:0:0,15.936573556425184,7.710196187629359e-07,7.648204511945983e-07,9.75752527633625e-08,15.936573556425166
2025-2-24 2:1:0,15.936573556421589,7.710196187627581e-07,7.648204511944215e-07,9.757525276334241e-08,15.936573556421571
2025-2-24 2:1:0,15.936573556421589,7.710196187627581e-07,7.648204511944215e-07,9.757525276334241e-08,15.936573556421571
2025-2-24 2:2:0,14.656911660661127,7.024497917525296e-07,6.960285325182017e-07,9.47628189414546e-08,14.65691166066111
2025-2-24 2:2:0,14.656911660661127,7.024497917525296e-07,6.960285325182017e-07,9.47628189414546e-08,14.65691166066111
2025-2-24 2:3:0,14.65691166065833,7.024497917523944e-07,6.960285325180677e-07,9.476281894143567e-08,14.656911660658315
2025-2-24 2:3:0,14.65691166065833,7.024497917523944e-07,6.960285325180677e-07,9.476281894143567e-08,14.656911660658315
2025-2-24 2:4:0,14.656911660656933,7.024497917523257e-07,6.960285325179999e-07,9.476281894142507e-08,14.656911660656917
2025-2-24 2:4:0,14.656911660656933,7.024497917523257e-07,6.960285325179999e-07,9.476281894142507e-08,14.656911660656917
2025-2-24 2:5:0,14.656911660656933,7.024497917523237e-07,6.960285325179982e-07,9.476281894142287e-08,14.656911660656917
2025-2-24 2:5:0,14.656911660656933,7.024497917523237e-07,6.960285325179982e-07,9.476281894142287e-08,14.656911660656917
2025-2-24 2:6:0,14.656911660654135,7.024497917521885e-07,6.960285325178642e-07,9.476281894140401e-08,14.656911660654119
2025-2-24 2:6:0,14.656911660654135,7.024497917521885e-07,6.960285325178642e-07,9.476281894140401e-08,14.656911660654119
2025-2-24 2:7:0,14.656911660654135,7.024497917521865e-07,6.960285325178625e-07,9.476281894140174e-08,14.656911660654119
2025-2-24 2:7:0,14.656911660654135,7.024497917521865e-07,6.960285325178625e-07,9.476281894140174e-08,14.656911660654119
2025-2-24 2:8:0,14.656911660655535,7.02449791752251e-07,6.960285325179269e-07,9.476281894140778e-08,14.656911660655519
2025-2-24 2:8:0,14.656911660655535,7.02449791752251e-07,6.960285325179269e-07,9.476281894140778e-08,14.656911660655519
2025-2-24 2:9:0,14.656911660652737,7.024497917521159e-07,6.960285325177932e-07,9.476281894138889e-08,14.656911660652721
2025-2-24 2:9:0,14.656911660652737,7.024497917521159e-07,6.960285325177932e-07,9.476281894138889e-08,14.656911660652721
2025-2-24 2:10:0,14.656911660651339,7.024497917520471e-07,6.960285325177251e-07,9.476281894137844e-08,14.656911660651323
2025-2-24 2:10:0,14.656911660651339,7.024497917520471e-07,6.960285325177251e-07,9.476281894137844e-08,14.656911660651323
2025-2-24 2:11:0,14.656911660651339,7.024497917520453e-07,6.960285325177235e-07,9.476281894137606e-08,14.656911660651323
2025-2-24 2:11:0,14.656911660651339,7.024497917520453e-07,6.960285325177235e-07,9.476281894137606e-08,14.656911660651323
2025-2-24 2:12:0,14.656911660648543,7.024497917519099e-07,6.960285325175895e-07,9.476281894135723e-08,14.656911660648527
2025-2-24 2:12:0,14.656911660648543,7.024497917519099e-07,6.960285325175895e-07,9.476281894135723e-08,14.656911660648527
2025-2-24 2:13:0,14.656911660645745,7.024497917517747e-07,6.960285325174556e-07,9.476281894133829e-08,14.65691166064573
2025-2-24 2:13:0,14.656911660645745,7.024497917517747e-07,6.960285325174556e-07,9.476281894133829e-08,14.65691166064573
2025-2-24 2:14:0,14.656911660647143,7.024497917518392e-07,6.960285325175199e-07,9.476281894134439e-08,14.656911660647127
2025-2-24 2:14:0,14.656911660647143,7.024497917518392e-07,6.960285325175199e-07,9.476281894134439e-08,14.656911660647127
2025-2-24 2:15:0,14.65691166064295,7.024497917516374e-07,6.960285325173199e-07,9.476281894131718e-08,14.656911660642933
2025-2-24 2:15:0,14.65691166064295,7.024497917516374e-07,6.960285325173199e-07,9.476281894131718e-08,14.656911660642933
2025-2-24 2:16:0,14.727572312822444,7.053109966270186e-07,6.987262660581479e-07,9.615199989306791e-08,14.727572312822426
2025-2-24 2:16:0,14.727572312822444,7.053109966270186e-07,6.987262660581479e-07,9.615199989306791e-08,14.727572312822426
2025-2-24 2:17:0,14.727572312820316,7.053109966269188e-07,6.987262660580494e-07,9.615199989305174e-08,14.727572312820298
2025-2-24 2:17:0,14.727572312820316,7.053109966269188e-07,6.987262660580494e-07,9.615199989305174e-08,14.727572312820298
2025-2-24 2:18:0,14.727572312819607,7.053109966268861e-07,6.987262660580175e-07,9.61519998930441e-08,14.72757231281959
