Observation Time,X,Y,Z
2025-2-24 1:30:0,-16536455.391799007,19386592.597582407,-3982091.0371592864
2025-2-24 1:31:0,-8607038.887458358,9494393.561535902,-2421058.8134084567
2025-2-24 1:32:0,-4642331.56074551,4548293.307538338,-1640543.9023215398
2025-2-24 1:32:0,-2659979.789638075,2075243.8781283575,-1250286.1909309253
2025-2-24 1:33:0,-1668802.512712988,838718.870995708,-1055157.1610384807
2025-2-24 1:33:0,-1173212.9097900717,220456.81545812663,-957592.2472656593
2025-2-24 1:34:0,-925418.6713874666,-88674.2383713049,-908809.7842690572
2025-2-24 1:34:0,-801521.962729725,-243240.13066082422,-884418.8975894079
2025-2-24 1:35:0,-739574.047011408,-320523.69029944367,-872224.0176922902
2025-2-24 1:35:0,-708599.1741187898,-359164.78333049244,-866125.9816363677
2025-2-24 1:36:0,-693112.8340525953,-378486.8309932274,-863077.795864664
2025-2-24 1:36:0,-685369.67568067,-388147.520294599,-861553.4511336908
2025-2-24 1:37:0,-681497.1002118913,-392977.0695205254,-860790.982779704
2025-2-24 1:37:0,-679561.0988064138,-395391.7883718533,-860409.5248852596
2025-2-24 1:38:0,-678593.5157749979,-396598.8330615086,-860218.9246143922
2025-2-24 1:38:0,-678109.1526303617,-397202.0813611073,-860123.4030702934
2025-2-24 1:39:0,-677867.6275444357,-397503.7483479304,-860075.8047875986
2025-2-24 1:39:0,-677746.886815819,-397654.91912024445,-860052.3693915233
2025-2-24 1:40:0,-677685.9621298639,-397730.8466842694,-860040.5951010808
2025-2-24 1:40:0,-677655.5823777048,-397768.40144484467,-860034.3188259229
2025-2-24 1:41:0,-677640.905344042,-397787.45350509114,-860031.4219892845
2025-2-24 1:41:0,-677634.0580041735,-397796.79998748726,-860029.8981060609
2025-2-24 1:42:0,-677629.4655962316,-397801.6139034552,-860028.9554233178
2025-2-24 1:42:0,-677626.8690317003,-397804.5171278042,-860029.0185491666
2025-2-24 1:43:0,-677626.1699622003,-397805.74508922524,-860028.8641770706
2025-2-24 1:43:0,-677626.7350674002,-397805.64127843804,-860028.4932111129
2025-2-24 1:44:0,-677626.2923620073,-397805.77515726513,-860028.6094184741
2025-2-24 1:44:0,-677625.9910557596,-397806.6607102675,-860028.6559749469
2025-2-24 1:45:0,-677626.0286355345,-397806.6249933762,-860028.6453548297
2025-2-24 1:45:0,-677626.4875238268,-397806.7045094294,-860028.7907298431
2025-2-24 1:46:0,-677625.0118069975,-397805.506863646,-860028.1791169271
2025-2-24 1:46:0,-14471901.141290609,-15359422.073014256,-12673638.117561154
2025-2-24 1:47:0,-677624.8152509062,-397803.85944085545,-860026.9995658025
2025-2-24 1:47:0,-677626.273683819,-397805.7330712599,-860028.2577359304
2025-2-24 1:48:0,-14477374.0030928,-15365358.900226608,-12678325.286741652
2025-2-24 1:48:0,-7521396.394107702,-7820731.125922091,-6721129.262806769
2025-2-24 1:49:0,-4043408.2076621084,-4048416.788017038,-3742531.2883466557
2025-2-24 1:49:0,-2304413.9949348895,-2162259.848662633,-2253232.0818003155
2025-2-24 1:50:0,-1434916.261461678,-1219180.706412535,-1508582.1913252398
2025-2-24 1:50:0,-1000168.6992430119,-747642.2430732807,-1136258.1620678455
2025-2-24 1:51:0,-782793.7974179117,-511874.07855473435,-950096.107454244
2025-2-24 1:51:0,-674106.4850622145,-393988.3151307327,-857014.4345203377
2025-2-24 1:52:0,-619761.9602420954,-335047.32570896274,-810473.8730713017
2025-2-24 1:52:0,-592589.8196209697,-305576.3303928112,-787203.5846589133
2025-2-24 1:53:0,-579003.4628285794,-290840.0649385785,-775568.0049410239
2025-2-24 1:53:0,-572211.0784615604,-283473.5637248715,-769750.6674759239
2025-2-24 1:54:0,-568816.9283774225,-279787.23233129806,-766842.3467656076
2025-2-24 1:54:0,-567117.5248222081,-277947.0353512687,-765387.7209891528
2025-2-24 1:55:0,-566267.0366788534,-277026.3673935828,-764659.7630886808
