Êý¾Ý×éÊý,ÎÀÐÇPRNºÅ,ÀúÔª,ÎÀÐÇÖÓÆ«²î(s),ÎÀÐÇÖÓÆ¯ÒÆ(s/s),ÎÀÐÇÖÓÆ¯ÒÆËÙ¶È(s/s*s),IODE,C_rs,n,M0,C_uc,e,C_us,sqrt_A,TEO,C_ic,OMEGA,C_is,I_0,C_rc,w,OMEGA_DOT,IDOT,L2_code,PS_week_num,L2_P_code,ÎÀÐÇ¾«¶È(m),ÎÀÐÇ½¡¿µ×´Ì¬,TGD,IODC,X,Y,Z
1,C01,2025 02 28 00 00 00,-0.0003397341351956,4.134470543704e-12,0.0,1.0,443.3125,1.189335254873e-10,-0.3591617856729,1.455564051867e-05,0.0005730760749429,3.732461482286e-05,6493.467792511,432000.0,-1.383014023304e-07,-2.769994081989,-1.583248376846e-08,0.08756903859624,-1150.21875,-0.5448285252435,7.039578941005e-10,-3.021554431299e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
2,C01,2025 02 28 01 00 00,-0.0003397191176191,4.164668609974e-12,0.0,1.0,1003.28125,-5.818099490054e-10,-0.09641947207517,3.251479938626e-05,0.0005662805633619,2.628471702337e-05,6493.451417923,435600.0,-1.415610313416e-07,-2.527029781528,5.261972546577e-08,0.09382716953537,-812.59375,-0.7880261231025,1.531492364233e-09,-2.675111429129e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
3,C01,2025 02 28 02 00 00,-0.0003397041000426,4.155786825777e-12,0.0,1.0,1280.65625,-1.250766385155e-09,0.1668930606573,4.142289981246e-05,0.0005644108168781,9.167473763227e-06,6493.44679451,439200.0,-1.201406121254e-07,-2.297530073738,7.310882210732e-08,0.09949769163252,-284.0625,-1.018399721099,2.240093308878e-09,-2.075086435679e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
4,C01,2025 02 28 03 00 00,-0.0003396891988814,4.14779322e-12,0.0,1.0,1230.3125,-1.851505694072e-09,0.4249690474038,3.990391269326e-05,0.0005683689378202,-9.666662663221e-06,6493.458105087,442800.0,-6.053596735001e-08,-2.077964115135,5.541369318962e-08,0.1043166359495,299.34375,-1.233669964129,2.761543600804e-09,-1.378628853997e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
5,C01,2025 02 28 04 00 00,-0.0003396741813049,4.158451361036e-12,0.0,1.0,924.0,-2.188305437419e-09,0.6785925405717,3.016041591763e-05,0.000573250465095,-2.594338729978e-05,6493.475076675,446400.0,2.095475792885e-08,-1.865457113697,4.470348358154e-08,0.1080864046783,802.703125,-1.437489068138,2.976195399056e-09,-7.393165097859e-11,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
6,C01,2025 02 28 05 00 00,-0.0003396592801437,4.14779322e-12,0.0,1.0,486.28125,-2.035441927183e-09,0.9359694046197,1.60695053637e-05,0.0005749621195719,-3.632577136159e-05,6493.483283997,450000.0,7.962808012962e-08,-1.65764133505,9.406358003616e-08,0.1106659300916,1121.09375,-1.640418597996,2.762615074007e-09,-2.571535686212e-11,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
7,C01,2025 02 28 06 00 00,-0.0003396444953978,4.128253294766e-12,0.0,1.0,25.578125,-1.508634269244e-09,1.203508971848,1.08266249299e-06,0.0005742902867496,-3.918446600437e-05,6493.476127625,453600.0,8.195638656616e-08,-1.4524970979,1.615844666958e-07,0.1119646122098,1204.640625,-1.850869773824,2.280452132842e-09,1.428630936784e-11,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
8,C01,2025 02 28 07 00 00,-0.0003396298270673,4.114042440051e-12,0.0,1.0,-389.546875,-8.714648714384e-10,1.479176094993,-1.255702227354e-05,0.0005744714289904,-3.486964851618e-05,6493.457902908,457200.0,4.516914486885e-08,-1.248201710189,1.862645149231e-07,0.1119385561759,1066.296875,-2.068608669169,1.765073522397e-09,5.50022910662e-11,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
9,C01,2025 02 28 08 00 00,-0.0003396146930754,4.14601686316e-12,0.0,1.0,-722.0625,-4.914490422538e-10,1.754262966311,-2.355687320232e-05,0.0005766518879682,-2.522952854633e-05,6493.439699173,460800.0,4.144385457039e-08,-1.042994415418,1.196749508381e-07,0.1105889147693,766.421875,-2.286666382639,1.506848480573e-09,1.017899542459e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
10,C01,2025 02 28 09 00 00,-0.0003395999083295,4.126476937927e-12,0.0,1.0,-940.421875,-2.925121843066e-10,2.022652424575,-3.083795309067e-05,0.0005787223344669,-1.257192343473e-05,6493.43013382,464400.0,7.264316082001e-08,-0.8350434485114,3.306195139885e-08,0.1079613573667,377.3125,-2.500738151976,1.37291433025e-09,1.428630936784e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
11,C01,2025 02 28 10 00 00,-0.000339584890753,4.151345933678e-12,0.0,1.0,-1018.125,-1.139333172086e-10,2.283881741482,-3.349035978317e-05,0.0005777660990134,8.977949619293e-07,6493.433052063,468000.0,9.825453162193e-08,-0.6223147593934,-2.468004822731e-08,0.1041481443597,-33.140625,-2.712379544787,1.178620522847e-09,1.717928701483e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
12,C01,2025 02 28 11 00 00,-0.0003395701060072,4.135358722124e-12,0.0,1.0,-935.875,1.953652806053e-10,2.542132921446,-3.086077049375e-05,0.0005728857358918,1.340266317129e-05,6493.446212769,471600.0,7.869675755501e-08,-0.4024238530373,-4.610046744347e-08,0.09929203899769,-411.90625,-2.928145402518,7.896757503075e-10,1.885792836555e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
13,C01,2025 02 28 12 00 00,-0.0003395550884306,4.151345933678e-12,0.0,1.0,-687.984375,6.996720012901e-10,2.802134673071,-2.277409657836e-05,0.0005664622876793,2.359179779887e-05,6493.462078094,475200.0,1.722946763039e-08,-0.1724738883212,-4.144385457039e-08,0.09359286857579,-720.890625,3.127531573627,1.978653847446e-10,1.946509651369e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
14,C01,2025 02 28 13 00 00,-0.0003395399544388,4.172662215751e-12,0.0,1.0,-303.515625,7.153869415948e-10,3.0653115143,-1.010484993458e-05,0.0005589817883447,2.921605482697e-05,6493.480106354,478800.0,5.820766091347e-08,0.07109021879296,-8.894130587578e-08,0.08731807646266,-884.4375,2.883305850108,5.750239520557e-11,1.996511734156e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
15,C01,2025 02 28 14 00 00,-0.0003395250532776,4.156675004197e-12,0.0,1.0,159.796875,1.626139163795e-09,-2.953582553323,5.275942385197e-06,0.000555454287678,2.929335460067e-05,6493.488933563,482400.0,-8.288770914078e-08,0.3325325907,-7.404014468193e-08,0.0808141665087,-882.734375,2.620157572354,-9.203954810233e-10,1.900079145923e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
16,C01,2025 02 28 15 00 00,-0.0003395096864551,4.20463663886e-12,0.0,1.0,628.59375,1.243980388205e-09,-2.69516735391,2.071680501103e-05,0.0005589200882241,2.296641469002e-05,6493.478940964,486000.0,8.707866072655e-08,0.6164865069318,-1.024454832077e-07,0.07452695129524,-699.203125,2.340439586623,-4.446613790741e-10,1.782217093638e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
17,C01,2025 02 28 16 00 00,-0.0003394942032173,4.253486451944e-12,0.0,1.0,940.953125,1.230408394306e-09,-2.438307160343,3.101956099272e-05,0.0005617249989882,8.008908480406e-06,6493.468738556,489600.0,1.420266926289e-07,0.9268529131556,-1.657754182816e-07,0.06900015212187,-243.15625,2.035924094925,-3.846588797292e-10,1.62149611325e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
18,C01,2025 02 28 17 00 00,-0.0003394793020561,4.185096713627e-12,0.0,1.0,938.46875,1.380771800402e-09,-2.187296991848,3.088917583227e-05,0.0005651514511555,-1.11791305244e-05,6493.451070786,493200.0,1.424923539162e-07,1.264301269943,-2.225860953331e-07,0.06484993838024,337.125,1.710222126211,-4.268034923643e-10,1.385772008681e-10,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
19,C01,2025 02 28 18 00 00,-0.0003394639352337,4.229505634612e-12,0.0,1.0,540.46875,2.171519023912e-09,-1.935700854442,1.767231151462e-05,0.0005666599608958,-2.737855538726e-05,6493.43573761,496800.0,2.933666110039e-08,1.622976383732,-1.848675310612e-07,0.06265540911785,828.28125,1.362737708135,-1.12183244311e-09,9.821837690392e-11,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
20,C01,2025 02 28 19 00 00,-0.0003394489176571,4.197531211503e-12,0.0,1.0,-127.625,3.199776140663e-09,-1.677534280882,-4.397705197334e-06,0.0005666378419846,-3.182841464877e-05,6493.429767609,500400.0,-7.962808012962e-08,1.989306160781,-1.583248376846e-08,0.06277536840035,966.171875,1.001039776959,-2.113659470972e-09,3.714440435639e-11,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
21,C01,2025 02 28 20 00 00,-0.0003394341329113,4.154898647357e-12,0.0,1.0,-761.453125,3.548719246972e-09,-1.409783374656,-2.517784014344e-05,0.0005674912827089,-2.148095518351e-05,6493.437179565,504000.0,-8.568167686462e-08,2.346336337298,1.438893377781e-07,0.06518957236735,656.25,0.6390481635154,-2.511176029133e-09,-2.142946405177e-11,0.0,999.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
