time,satellite,pseudo_range,carrier_phase,doppler,signal_strength
2025-02-28T00:00:30.000,G04,22701354.031,119296386.392,12336.531,38.0
2025-02-28T00:00:30.000,G26,20277729.563,106560140.016,-4027.125,46.0
2025-02-28T00:00:30.000,G31,21017132.383,110445721.926,-2844.719,48.0
2025-02-28T00:00:30.000,G27,22991289.781,120820085.559,14897.891,40.0
2025-02-28T00:00:30.000,G29,24282296.273,127604202.021,-8937.422,35.0
2025-02-28T00:00:30.000,G28,22184806.328,116581900.867,-5635.391,44.0
2025-02-28T00:00:30.000,G32,23414181.703,123042338.599,-13411.281,39.0
2025-02-28T00:00:30.000,G16,20212168.352,106215636.46,3853.5,45.0
2025-02-28T00:00:30.000,G03,22893239.773,120304734.536,-6148.938,38.0
2025-02-28T00:00:30.000,R09,20804921.359,111097647.723,-7532.094,46.0
2025-02-28T00:00:30.000,R10,20359425.391,108527129.36,401.406,45.0
2025-02-28T00:00:30.000,R06,22402766.742,119545613.689,-17184.469,30.0
2025-02-28T00:00:30.000,R08,20664383.531,110656752.95,9334.875,46.0
2025-02-28T00:00:30.000,R11,23063519.313,123244654.689,8698.25,40.0
2025-02-28T00:00:30.000,R07,19525078.063,104519230.826,-6763.281,50.0
2025-02-28T00:00:30.000,C12,24774693.977,129008337.957,7090.125,38.0
2025-02-28T00:00:30.000,C03,36650810.453,190850457.42,-89.828,41.0
2025-02-28T00:00:30.000,C05,39461702.523,205487368.328,-103.828,33.0
2025-02-28T00:00:30.000,C06,36512411.883,190130019.745,1235.766,44.0
2025-02-28T00:00:30.000,C14,24390932.93,127009941.765,-12413.766,42.0
2025-02-28T00:00:30.000,C04,38755983.414,201812613.286,-135.016,35.0
2025-02-28T00:00:30.000,C01,37794082.148,196803678.934,-83.5,39.0
2025-02-28T00:00:30.000,C16,36689173.344,191050486.556,1330.484,47.0
2025-02-28T00:00:30.000,C13,39653409.797,206486182.295,-8054.219,35.0
2025-02-28T00:00:30.000,C02,37465495.82,195092663.168,-257.266,36.0
2025-02-28T00:01:30.000,G04,22666223.352,119111774.087,12277.266,38.0
2025-02-28T00:01:30.000,G26,20289357.555,106621245.582,-4120.938,47.0
2025-02-28T00:01:30.000,G31,21025322.398,110488760.558,-2894.078,48.0
2025-02-28T00:01:30.000,G29,24307968.703,127739112.301,-9050.75,34.0
2025-02-28T00:01:30.000,G28,22200954.227,116666759.058,-5679.906,44.0
2025-02-28T00:01:30.000,G32,23452552.047,123243979.115,-13474.422,38.0
2025-02-28T00:01:30.000,G16,20201356.727,106158822.984,3720.609,45.0
2025-02-28T00:01:30.000,G03,22910949.469,120397800.087,-6260.0,38.0
2025-02-28T00:01:30.000,R09,20826109.422,111210792.256,-7554.344,45.0
2025-02-28T00:01:30.000,R10,20358397.852,108521652.554,328.375,44.0
2025-02-28T00:01:30.000,R08,20638481.148,110518043.574,9158.781,46.0
2025-02-28T00:01:30.000,R11,23039188.18,123114635.828,8637.281,38.0
2025-02-28T00:01:30.000,R07,19544312.344,104622198.254,-6966.234,49.0
2025-02-28T00:01:30.000,R19,23246610.617,124353800.703,6582.859,31.0
2025-02-28T00:01:30.000,C12,24754374.031,128902528.256,7016.625,38.0
2025-02-28T00:01:30.000,C03,36651069.117,190851805.534,-90.266,41.0
2025-02-28T00:01:30.000,C05,39462003.211,205488941.255,-104.25,31.0
2025-02-28T00:01:30.000,C06,36508832.367,190111380.306,1248.656,44.0
2025-02-28T00:01:30.000,C14,24426749.492,127196448.637,-12454.406,42.0
2025-02-28T00:01:30.000,C04,38756373.68,201814643.095,-135.453,35.0
2025-02-28T00:01:30.000,C01,37794322.945,196804931.493,-83.906,39.0
2025-02-28T00:01:30.000,C16,36685320.727,191030421.929,1344.125,47.0
2025-02-28T00:01:30.000,C02,37466236.023,195096518.008,-257.953,36.0
2025-02-28T00:02:00.000,G04,22648723.891,119019810.472,12247.703,39.0
2025-02-28T00:02:00.000,G26,20295271.695,106652325.164,-4165.313,46.0
2025-02-28T00:02:00.000,G31,21029469.609,110510557.014,-2916.984,46.0
2025-02-28T00:02:00.000,G29,24320925.984,127807205.178,-9105.766,35.0
2025-02-28T00:02:00.000,G28,22209075.734,116709438.77,-5700.203,44.0
2025-02-28T00:02:00.000,G32,23471805.281,123345152.334,-13504.266,39.0
2025-02-28T00:02:00.000,G16,20196093.375,106131160.666,3657.031,45.0
2025-02-28T00:02:00.000,G03,22919922.578,120444951.156,-6312.609,39.0
2025-02-28T00:02:00.000,R09,20836728.18,111267488.175,-7563.578,46.0
2025-02-28T00:02:00.000,R10,20357961.258,108519321.168,294.781,44.0
2025-02-28T00:02:00.000,R08,20625715.406,110449680.907,9072.453,47.0
2025-02-28T00:02:00.000,R11,23027084.945,123049967.622,8609.625,37.0
2025-02-28T00:02:00.000,R07,19554142.68,104674819.616,-7065.0,48.0
2025-02-28T00:02:00.000,R19,23237431.391,124304704.458,6511.719,30.0
2025-02-28T00:02:00.000,C12,24744294.008,128850039.504,6981.469,39.0
2025-02-28T00:02:00.000,C03,36651198.445,190852477.927,-87.75,41.0
2025-02-28T00:02:00.000,C05,39462153.289,205489719.491,-102.734,33.0
2025-02-28T00:02:00.000,C06,36507028.273,190101986.078,1257.281,43.0
2025-02-28T00:02:00.000,C14,24444701.703,127289927.918,-12472.563,42.0
2025-02-28T00:02:00.000,C04,38756568.047,201815654.317,-132.375,35.0
2025-02-28T00:02:00.000,C01,37794443.5,196805557.023,-81.906,39.0
2025-02-28T00:02:00.000,C16,36683379.125,191020311.553,1352.875,46.0
2025-02-28T00:02:00.000,C02,37466606.898,195098447.557,-256.016,36.0
2025-02-28T00:02:30.000,G04,22631267.781,118928078.15,12213.906,39.0
2025-02-28T00:02:30.000,G26,20301252.438,106683753.071,-4215.391,46.0
