time,satellite,pseudo_range,carrier_phase,doppler,signal_strength
2025-04-10T07:05:35.000,G17,21155252.844,21155260.508,111171600.603,86627249.637
2025-04-10T07:05:35.000,G11,22629336.445,22629345.023,118917963.392,92663380.347
2025-04-10T07:05:35.000,G09,22874321.594,22874333.688,120205372.044,93666548.567
2025-04-10T07:05:35.000,G19,19732382.727,19732386.59,103694370.362,80800825.105
2025-04-10T07:05:35.000,G22,22991895.719,22991905.207,120823229.522,94148006.239
2025-04-10T07:05:35.000,G03,23452728.617,23452740.043,123244912.116,96035048.019
2025-04-10T07:05:35.000,G04,23017469.898,23017480.434,120957619.16,94252735.102
2025-04-10T07:05:35.000,G06,20762754.727,20762764.16,109109009.311,85020048.687
2025-04-10T07:05:35.000,G12,23364803.273,23364812.191,122782880.041,95674990.385
2025-04-10T07:05:35.000,R24,22527426.211,22527425.277,22527437.242,22527437.219
2025-04-10T07:05:35.000,R18,20928962.078,20928961.121,20928969.293,20928969.309
2025-04-10T07:05:35.000,R03,22516240.891,22516240.102,22516255.363,22516255.098
2025-04-10T07:05:35.000,R02,20298571.313,20298569.641,20298579.172,20298578.84
2025-04-10T07:05:35.000,R16,21619115.266,21619114.105,21619124.051,21619123.848
2025-04-10T07:05:35.000,R17,19735631.664,19735631.199,19735639.348,19735639.156
2025-04-10T07:05:35.000,R01,21610913.852,21610912.805,115522725.171,115522712.182
2025-04-10T07:05:35.000,E03,26603444.164,26603456.891,26603455.016,26603456.977
2025-04-10T07:05:35.000,E13,25564261.023,25564270.93,25564268.441,25564271.051
2025-04-10T07:05:35.000,E15,23481651.547,23481659.266,23481657.578,23481659.863
2025-04-10T07:05:35.000,E21,26084537.445,26084546.066,26084543.957,26084546.355
2025-04-10T07:05:35.000,E27,24640188.93,24640196.691,24640195.004,24640197.426
2025-04-10T07:05:35.000,E05,25254409.352,25254418.332,25254417.582,25254420.02
2025-04-10T07:05:35.000,E30,27075509.797,27075524.0,27075520.906,27075524.156
2025-04-10T07:05:35.000,C04,38470020.922,38470019.941,200323491.724,154902828.713
