Êý¾Ý×éÊý,ÎÀÐÇPRNºÅ,ÀúÔª,ÎÀÐÇÖÓÆ«²î(s),ÎÀÐÇÖÓÆ¯ÒÆ(s/s),ÎÀÐÇÖÓÆ¯ÒÆËÙ¶È(s/s*s),IODE,C_rs,n,M0,C_uc,e,C_us,sqrt_A,TEO,C_ic,OMEGA,C_is,I_0,C_rc,w,OMEGA_DOT,IDOT,L2_code,PS_week_num,L2_P_code,ÎÀÐÇ¾«¶È(m),ÎÀÐÇ½¡¿µ×´Ì¬,TGD,IODC,X,Y,Z
1,C01,2025 01 27 00 00 00,-0.0003507859073579,3.852917984659e-12,0.0,1.0,787.75,-9.01216110697e-09,-0.346660356321,2.560438588262e-05,0.0004391247639433,2.497341483831e-06,6493.457504272,86400.0,-1.261942088604e-07,-2.71499642435,2.095475792885e-07,0.07085742610193,-75.171875,-0.6809534533589,1.025399854877e-08,-5.918103655629e-10,0.0,995.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
2,C01,2025 01 27 01 00 00,-0.000350771821104,3.886668764608e-12,0.0,1.0,681.703125,-9.727548048565e-09,-0.08450640935686,2.225767821074e-05,0.0004417389864102,-1.116003841162e-05,6493.463827133,90000.0,1.303851604462e-08,-2.437388635043,2.104789018631e-07,0.08018438759017,344.375,-0.9579916803816,1.093224108601e-08,-3.507288949806e-10,0.0,995.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
3,C01,2025 01 27 02 00 00,-0.00035075773485,3.897326905644e-12,0.0,1.0,404.203125,-9.412892084738e-09,0.1759113157095,1.332350075245e-05,0.0004447222454473,-2.012494951487e-05,6493.471345901,93600.0,1.192092895508e-07,-2.190413086354,1.27125531435e-07,0.08948869871779,618.03125,-1.202760917466,1.057008314353e-08,-1.142904749427e-10,0.0,995.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
4,C01,2025 01 27 03 00 00,-0.0003507435321808,3.913314117199e-12,0.0,1.0,82.5625,-8.444994625066e-09,0.4371539846696,2.8763897717e-06,0.0004456756869331,-2.383533865213e-05,6493.473983765,97200.0,1.927837729454e-07,-1.964791144295,3.678724169731e-08,0.09822840246439,729.4375,-1.427109221102,9.583970639418e-09,9.250385315679e-11,0.0,995.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
5,C01,2025 01 27 04 00 00,-0.0003507296787575,3.889333299867e-12,0.0,1.0,-199.625,-7.097438493945e-09,0.7032920281016,-6.415415555239e-06,0.0004442144418135,-2.294080331922e-05,6493.468700409,100800.0,2.305023372173e-07,-1.753953712744,-2.095475792885e-08,0.1060138520625,699.828125,-1.641676025825,8.273916070386e-09,2.642967233051e-10,0.0,995.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
6,C01,2025 01 27 05 00 00,-0.0003507157089189,3.882227872509e-12,0.0,1.0,-414.734375,-5.623448524917e-09,0.9736676317251,-1.357076689601e-05,0.0004424202488735,-1.85058452189e-05,6493.459209442,104400.0,2.23983079195e-07,-1.553315481253,-4.703179001808e-08,0.1125591684497,562.796875,-1.85038050965,6.862785862578e-09,4.064455015151e-10,0.0,995.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
7,C01,2025 01 27 06 00 00,-0.0003507016226649,3.893774191965e-12,0.0,1.0,-561.671875,-4.262320399896e-09,1.243463815922,-1.848954707384e-05,0.0004417217569426,-1.177983358502e-05,6493.451234818,108000.0,1.741573214531e-07,-1.359602579602,-8.195638656616e-08,0.1176544082526,357.09375,-2.051664812577,5.552374135812e-09,5.303792352812e-10,0.0,995.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
8,C01,2025 01 27 07 00 00,-0.0003506877692416,3.877786980411e-12,0.0,1.0,-646.6875,-3.061913255263e-09,1.507522964988,-2.133240923285e-05,0.0004417262971401,-4.041008651257e-06,6493.449567795,111600.0,1.112930476665e-07,-1.170368192453,-1.234002411366e-07,0.1211501782769,121.90625,-2.242798380458,4.359824461332e-09,6.346692936664e-10,0.0,995.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
9,C01,2025 01 27 08 00 00,-0.0003506735665724,3.905320511421e-12,0.0,1.0,-670.328125,-2.001511942435e-09,1.764610307308,-2.210726961493e-05,0.000440901494585,3.601890057325e-06,6493.455656052,115200.0,5.494803190231e-08,-0.9836652416742,-1.583248376846e-07,0.1229496011615,-109.265625,-2.424470113118,3.256207062666e-09,7.175298879999e-10,0.0,995.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
10,C01,2025 01 27 09 00 00,-0.0003506595967337,3.896438727224e-12,0.0,1.0,-625.921875,-1.037900375574e-09,2.017957799037,-2.061109989882e-05,0.0004382712068036,1.03828497231e-05,6493.467245102,118800.0,8.381903171539e-09,-0.7978145079709,-1.8160790205e-07,0.1230042718731,-313.890625,-2.601565296746,2.214377952016e-09,7.789610182817e-10,0.0,995.0,,2.0,0.0,-5.2e-09,-9.7e-09,,,
