time,satellite,pseudo_range,carrier_phase,doppler,signal_strength
2025-04-10T07:20:45.000,G17,21542947.109,21542955.121,113208941.845,88214794.685
2025-04-10T07:20:45.000,G11,22318001.578,22318008.953,117281950.633,91388514.987
2025-04-10T07:20:45.000,G20,23369938.891,23369947.563,122809960.559,95696031.61
2025-04-10T07:20:45.000,G22,23610148.328,23610158.523,124072115.315,96679641.371
2025-04-10T07:20:45.000,G19,19846473.758,19846477.633,104293912.858,81268012.992
2025-04-10T07:20:45.000,G06,20720058.664,20720067.996,108884664.716,84845214.258
2025-04-10T07:20:45.000,G09,22526494.953,22526506.16,118377600.44,92242274.755
2025-04-10T07:20:45.000,G04,22940863.641,22940873.293,120555080.569,93939041.579
2025-04-10T07:20:45.000,G12,23130814.82,23130823.473,121553271.494,94716852.315
2025-04-10T07:20:45.000,R01,22145535.0,22145534.188,118380564.58,118380547.578
2025-04-10T07:20:45.000,R02,20171960.297,20171958.625,20171967.273,20171967.082
2025-04-10T07:20:45.000,R18,20649041.352,20649040.16,20649047.895,20649047.191
2025-04-10T07:20:45.000,R17,19876685.125,19876684.426,19876692.184,19876692.047
2025-04-10T07:20:45.000,R16,21930422.977,21930423.457,21930433.043,21930432.52
2025-04-10T07:20:45.000,R24,23060675.047,23060674.934,23060687.379,23060686.945
2025-04-10T07:20:45.000,R03,21864514.008,21864513.219,21864524.789,21864524.98
2025-04-10T07:20:45.000,E03,26274193.211,26274204.051,26274201.66,26274204.23
2025-04-10T07:20:45.000,E13,25344323.273,25344332.383,25344330.32,25344332.391
2025-04-10T07:20:45.000,E30,27687155.859,27687174.121,27687170.883,27687173.797
2025-04-10T07:20:45.000,E15,23598023.648,23598031.184,23598029.965,23598031.645
2025-04-10T07:20:45.000,E21,25962844.234,25962852.672,25962850.188,25962852.77
2025-04-10T07:20:45.000,E05,25291836.297,25291846.5,25291844.391,25291846.953
2025-04-10T07:20:45.000,E27,24995084.109,24995093.246,24995090.527,24995093.223
2025-04-10T07:20:45.000,C04,38528060.672,38528060.0,200625768.079,155136530.173
2025-04-10T07:20:45.000,C03,37516744.875,37516744.027,195359565.696,151064375.863
2025-04-10T07:20:45.000,C02,38985988.477,38985987.98,203010323.486,156980416.391
2025-04-10T07:20:45.000,C13,38437009.68,38437015.449,200151634.577,154769943.524
2025-04-10T07:20:50.000,G17,21543560.305,21543568.277,113212166.017,88217307.023
2025-04-10T07:20:50.000,G11,22314688.961,22314696.332,117264544.567,91374951.823
2025-04-10T07:20:50.000,G20,23365606.352,23365615.031,122787195.183,95678292.397
2025-04-10T07:20:50.000,G22,23611931.625,23611942.406,124081489.143,96686945.529
2025-04-10T07:20:50.000,G19,19845660.211,19845663.742,104289636.829,81264681.025
2025-04-10T07:20:50.000,G06,20718263.703,20718272.965,108875232.868,84837864.774
