OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Shape_Leng,zone,LocationID,borough,F_id,internet_a,level,name,network,operator,public_tra,railway,railway_re,short_name,start_date,station,subway,wheelchair,wikidata,wikimedia_,wikipedia,FID_1,network_wi,operator_w,owner,owner_wiki,opening_ho,gtfs_stop_,source,note,platforms,internet_1,name_en,name_ko,name_ru,wheelcha_1,addr_city,addr_postc,addr_state,name_es,name_nl,name_pl,alt_name,image,descriptio,addr_stree,check_date,website,name_zh,name_zh_Ha,departures,departur_1,payment_om,addr_house,air_condit,old_name,payment__1,toilets_wh,name_pronu,check_da_1,name_lt,location,disused,disused_ra,toilets,toilets_ac,old_name_r,operator_s,Shape_Length,Shape_Area,pickup_by_zone_csv_LocationID,pickup_count,pickup_by_zone_csv_Borough,pickup_by_zone_csv_Zone,pickup_by_zone_csv_service_zone,LocationID_1,dropoff_count,Borough_1,Zone_1,service_zone
1,0,0,1,0.116357453189000,Newark Airport,1,EWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37646.072282044908000,0.000782306788500,1,151,EWR,Newark Airport,EWR,1,8079,EWR,Newark Airport,EWR
2,0,1,2,0.433469666790000,Jamaica Bay,2,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267822.232149911350000,0.004866340378370,2,6,Queens,Jamaica Bay,Boro Zone,2,13,Queens,Jamaica Bay,Boro Zone
3,2,2,3,0.084341105901200,Allerton/Pelham Gardens,3,Bronx,node/7450676597,,-1,Gun Hill Road,NYC Subway,New York City Transit Authority,station,station,444,Gun Hill Rd,,subway,yes,no,Q1896000,,en:Gun Hill Road station (IRT Dyre Avenue Line),node/7450676597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25463.107588907682000,0.000314414156821,3,346,Bronx,Allerton/Pelham Gardens,Boro Zone,3,664,Bronx,Allerton/Pelham Gardens,Boro Zone
4,0,3,4,0.043566527092100,Alphabet City,4,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11304.103442791984000,0.000111871946192,4,13654,Manhattan,Alphabet City,Yellow Zone,4,19220,Manhattan,Alphabet City,Yellow Zone
5,0,4,5,0.092146489857400,Arden Heights,5,Staten Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29692.078850544240000,0.000497957489363,5,1,Staten Island,Arden Heights,Boro Zone,5,16,Staten Island,Arden Heights,Boro Zone
6,0,5,6,0.150490542523000,Arrochar/Fort Wadsworth,6,Staten Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40057.098870612470000,0.000606460984581,6,93,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,6,126,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
7,4,6,7,0.107417171123000,Astoria,7,Queens,node/1012304939,,-1,46th Street,NYC Subway,New York City Transit Authority,station,station,270,46 St,,subway,yes,no,Q2096739,,en:46th Street station (IND Queens Boulevard Line),node/1012304939,,,,,24/7,,,no in-station transfer between platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32520.180699584485000,0.000389787989274,7,6879,Queens,Astoria,Boro Zone,7,11163,Queens,Astoria,Boro Zone
8,0,7,8,0.027590691157400,Astoria Park,8,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8559.815469020824800,0.000026587716279,8,43,Queens,Astoria Park,Boro Zone,8,62,Queens,Astoria Park,Boro Zone
9,0,8,9,0.099784092470500,Auburndale,9,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32446.877969092369000,0.000338443803197,9,151,Queens,Auburndale,Boro Zone,9,507,Queens,Auburndale,Boro Zone
10,0,9,10,0.099839479415200,Baisley Park,10,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31475.435658490256000,0.000435823818081,10,1732,Queens,Baisley Park,Boro Zone,10,3887,Queens,Baisley Park,Boro Zone
