OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Shape_Leng,zone,LocationID,borough,F_id,amenity,name,wikidata,FID_1,wheelchair,addr_city,addr_house,addr_stree,opening_ho,phone,website,addr_postc,addr_state,brand,brand_wiki,cuisine,ele,gnis_featu,outdoor_se,allotments,cocktails,drink_beer,drink_liqu,drink_wine,created_by,source,happy_hour,building,old_name,bar,diet_vegan,diet_veget,internet_a,payment_ca,payment_cr,payment_de,toilets,toilets_un,tourism,addr_count,check_date,diet_chick,diet_fish,diet_glute,diet_lacto,diet_meat,diet_non_v,diet_ovo_v,diet_plant,diet_seafo,level,payment_ma,payment_vi,opening__1,contact_fa,contact_in,delivery,email,takeaway,website_me,alt_name,drink_coff,smoking,nysgissam_,addr_unit,indoor_sea,wikipedia,name_zh,drink_tea,internet_1,organic,reservatio,toilets_ac,toilets_wh,air_condit,payment__1,fixme,branch,changing_t,facebook,instagram,twitter,addr_floor,highchair,microbrewe,payment_am,payment_di,seats,start_date,contact_ph,contact_we,descriptio,craft,official_n,drink_sake,dog,atm,drink_sang,fax,addr_hou_1,source_ele,payment_co,full_name,opening__2,opening__3,shop,contact_tw,was_name,was_phone,was_websit,not_brand_,disused,catering,addr_flats,alcohol,drink_espr,contact_ti,source_nam,source_cui,building_l,live_music,diet_koshe,short_name,payment__2,diet_halal,drive_in,capacity,url,contact_em,constructi,operator,check_da_1,temp,dish,ref,wheelcha_1,entrance,payment__3,designatio,brewery,sport,note,nursery,opening__4,stars,name_en,wifi,food,was_amenit,payment_bi,not_name,disused_am,drive_thro,leisure,breakfast,drink_whis,drink_byob,black_owne,internet_2,self_servi,height,name_th,contact_sm,phases,name_bn,name_es,payment_ap,drink_smoo,nycdoitt_b,walkup_win,loc_name,diet_lac_1,diet_pesce,strapline,location,name_alt,disused_we,is_in,payment_nf,disused_cu,reservat_1,contact__1,diet_dairy,diet_dai_1,payment__4,phone_mnem,seasonal,diet_nut_f,check_da_2,currency_X,payment__5,payment_li,payment__6,payment_on,coffee,check_da_3,contact__2,fixme_atp,office,diet_soul_,certificat,certific_1,certific_2,brand_en,brand_zh,name_zh_Ha,name_ja,old_websit,opening__5,pets_allow,lunch,disused_sh,contact_li,name_ru,name_it,second_han,was_cuisin,survey_dat,was_brand,was_brand_,brand_ja,theme,take_out,drink_cide,diet_healt,diet_medit,street_ven,website_re,level_ref,contact_na,was_shop,descript_1,women_owne,contact_yo,airside,diet_organ,name_uk,drink_soju,name_ko,website_bo,dinner,name_fa,access,addr_place,amenity_1,name_fr,owner,contact_ye,source_ope,opening__6,name_en_fo,name_etymo,name_ety_1,name_pronu,name_de,image,payment__7,delivery_w,delivery_p,oven,cuisine_ja,drink_bubb,contact_pi,delivery_f,delivery_m,drink_juic,name_tr,toilets_nu,drink_cock,brunch,addr_zip,payment__8,payment,deli,opening__7,restaurant,payment_el,payment_jc,payment_un,fireplace,cafe,payment_pa,nysgissa_1,payment__9,disused_na,jukebox,television,brunch_men,dinner_men,lunch_menu,mapillary,drink_lass,indoor,rice_noodl,payment_eb,country,payment_10,addr_full,changing_1,descript_2,source_ref,construc_1,origin,payment_ch,nysgissa_2,cuisine_di,payment_go,brand_wi_1,pizza_styl,addr_subur,diet_jain,name_ar,payment_qr,drink_sush,karaoke,vegetarian,diet_Carne,name_zh__1,descript_3,payment_ta,payment_te,contact_bl,services,name_vi,kids_area,byob,breakfast_,music,check_da_4,brand_webs,name_yue_H,construc_2,payment_11,year,wikimedia_,cinema,payment_12,offshore,toilets_di,toilets_po,name_ja_rm,toilets_fe,toilets_ha,toilets_pa,website_or,name_bo,opening_da,unit,healthcare,natural,payment_al,payment_we,end_date,operationa,diet_poult,lgbtq,diet_macro,diet_local,contact__3,diet_sugar,service_el,membership,addr_door,payment_13,toilets_me,parking,min_age,descript_4,descript_5,descript_6,descript_7,not_shop,diet_non_h,short_na_1,image_menu,panoramax,Shape_Length,Shape_Area,pickup_by_zone_csv_LocationID,pickup_count,pickup_by_zone_csv_Borough,pickup_by_zone_csv_Zone,pickup_by_zone_csv_service_zone,LocationID_1,dropoff_count,Borough_1,Zone_1,service_zone
1,37,0,1,0.116357453189000,Newark Airport,1,EWR,node/2406539710,restaurant,Vesper Tavern,,node/2406539710,,,,,,,www.anOTGexperience.com,,,,,tavern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37646.072282019733000,0.000782306788500,1,151,EWR,Newark Airport,EWR,1,8079,EWR,Newark Airport,EWR
2,0,1,2,0.433469666790000,Jamaica Bay,2,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267822.232149719840000,0.004866340378370,2,6,Queens,Jamaica Bay,Boro Zone,2,13,Queens,Jamaica Bay,Boro Zone
3,1,2,3,0.084341105901200,Allerton/Pelham Gardens,3,Bronx,node/5282139104,restaurant,Caridad,,node/5282139104,,,1660,East Gun Hill Road,,,,,,,,italian;latin_american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25463.107588912615000,0.000314414156821,3,346,Bronx,Allerton/Pelham Gardens,Boro Zone,3,664,Bronx,Allerton/Pelham Gardens,Boro Zone
4,19,3,4,0.043566527092100,Alphabet City,4,Manhattan,node/2470101867,restaurant,Cantina Cubana,,node/2470101867,,,17,Avenue B,,,,,,,,cuban;mexican,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11304.103442806414000,0.000111871946192,4,13654,Manhattan,Alphabet City,Yellow Zone,4,19220,Manhattan,Alphabet City,Yellow Zone
5,3,4,5,0.092146489857400,Arden Heights,5,Staten Island,node/2545431422,restaurant,Peking Taste,,node/2545431422,,,262B,Arden Avenue,,,,10312,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29692.078850548591000,0.000497957489363,5,1,Staten Island,Arden Heights,Boro Zone,5,16,Staten Island,Arden Heights,Boro Zone
6,20,5,6,0.150490542523000,Arrochar/Fort Wadsworth,6,Staten Island,node/4412752830,restaurant,Boardwalk Grill,,node/4412752830,yes,,,,,,,,,,,,,,terrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40057.098870607522000,0.000606460984581,6,93,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,6,126,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
7,196,6,7,0.107417171123000,Astoria,7,Queens,node/2017266260,restaurant,Mama Carmela's Pizza,,node/2017266260,,,,,,,,,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32520.180699578897000,0.000389787989274,7,6879,Queens,Astoria,Boro Zone,7,11163,Queens,Astoria,Boro Zone
8,0,7,8,0.027590691157400,Astoria Park,8,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8559.815469020128100,0.000026587716279,8,43,Queens,Astoria Park,Boro Zone,8,62,Queens,Astoria Park,Boro Zone
9,7,8,9,0.099784092470500,Auburndale,9,Queens,node/2837699749,restaurant,North Shore Diner,,node/2837699749,,,,,,,,,,,,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32446.877969063244000,0.000338443803197,9,151,Queens,Auburndale,Boro Zone,9,507,Queens,Auburndale,Boro Zone
10,5,9,10,0.099839479415200,Baisley Park,10,Queens,node/5515267552,restaurant,Rochdale Chicken & Fish,,node/5515267552,,,118-29,Guy R Brewer Boulevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31475.435658466668000,0.000435823818081,10,1732,Queens,Baisley Park,Boro Zone,10,3887,Queens,Baisley Park,Boro Zone
