OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Shape_Leng,zone,LocationID,borough,F_id,created_by,name,tourism,FID_1,addr_state,ele,gnis_featu,source,name_zh,addr_city,addr_count,addr_house,addr_postc,addr_stree,internet_a,internet_1,smoking,website,branch,brand,brand_wiki,phone,wikidata,addr_flats,email,nysgissam_,official_n,ref,operator,rooms,wheelchair,old_name,air_condit,bar,operator_t,operator_w,reservatio,wikipedia,alt_name,bathroom_p,check_da_1,fax,check_date,brand_shor,short_name,contact_em,contact_fa,contact_tw,fitness_ce,name_es,contact_we,addr_floor,level,payment_ca,payment_ma,payment_vi,contact_in,dof,payment_co,payment_cr,payment_de,opening_ho,dog,building_l,height,start_date,breakfast,image,facebook,internet_2,toilets_wh,contact_ye,disused_we,contact_ph,contact_pi,descriptio,swimming_p,name_en,name_de,amenity,payment_di,payment_am,payment__1,nysgissa_1,building,year,payment__2,historic,payment_ch,operator_1,pets,country,payment__3,brand_webs,mobile,stars,elementary,note,contact_wh,Shape_Length,Shape_Area,pickup_by_zone_csv_LocationID,pickup_count,pickup_by_zone_csv_Borough,pickup_by_zone_csv_Zone,pickup_by_zone_csv_service_zone,LocationID_1,dropoff_count,Borough_1,Zone_1,service_zone
1,1,0,1,0.116357453189000,Newark Airport,1,EWR,node/11343797739,,Marriott Newark Airport,hotel,node/11343797739,,,,,,,,,,,,,,,,Marriott,Q3918608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37646.072282019733000,0.000782306788500,1,151,EWR,Newark Airport,EWR,1,8079,EWR,Newark Airport,EWR
2,0,1,2,0.433469666790000,Jamaica Bay,2,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267822.232149719840000,0.004866340378370,2,6,Queens,Jamaica Bay,Boro Zone,2,13,Queens,Jamaica Bay,Boro Zone
3,0,2,3,0.084341105901200,Allerton/Pelham Gardens,3,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25463.107588912615000,0.000314414156821,3,346,Bronx,Allerton/Pelham Gardens,Boro Zone,3,664,Bronx,Allerton/Pelham Gardens,Boro Zone
4,0,3,4,0.043566527092100,Alphabet City,4,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11304.103442806414000,0.000111871946192,4,13654,Manhattan,Alphabet City,Yellow Zone,4,19220,Manhattan,Alphabet City,Yellow Zone
5,0,4,5,0.092146489857400,Arden Heights,5,Staten Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29692.078850548591000,0.000497957489363,5,1,Staten Island,Arden Heights,Boro Zone,5,16,Staten Island,Arden Heights,Boro Zone
6,1,5,6,0.150490542523000,Arrochar/Fort Wadsworth,6,Staten Island,node/9543354337,,Navy Lodge,hotel,node/9543354337,,,,,,,,408,,North Path Road,wlan,,,https://www.navy-lodge.com/new-york,New York,,,+1 718-442-0413,,,navylodge.newyork@nexweb.org,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,40057.098870607522000,0.000606460984581,6,93,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,6,126,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
7,1,6,7,0.107417171123000,Astoria,7,Queens,node/10158815517,,Astoria Inn LaGuardia Hotel,hotel,node/10158815517,,,,,,,,,,,,,,,,,,+1 718-713-2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32520.180699578897000,0.000389787989274,7,6879,Queens,Astoria,Boro Zone,7,11163,Queens,Astoria,Boro Zone
8,0,7,8,0.027590691157400,Astoria Park,8,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8559.815469020128100,0.000026587716279,8,43,Queens,Astoria Park,Boro Zone,8,62,Queens,Astoria Park,Boro Zone
9,0,8,9,0.099784092470500,Auburndale,9,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32446.877969063244000,0.000338443803197,9,151,Queens,Auburndale,Boro Zone,9,507,Queens,Auburndale,Boro Zone
10,3,9,10,0.099839479415200,Baisley Park,10,Queens,node/7156301612,,Courtyard,hotel,node/7156301612,NY,,,,,Jamaica,,,11436,,,,,https://www.marriott.com/nycjf,New York JFK Airport,Courtyard,Q1053170,+1 718-848-2121,,,,,Courtyard by Marriott,NYCJF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31475.435658466668000,0.000435823818081,10,1732,Queens,Baisley Park,Boro Zone,10,3887,Queens,Baisley Park,Boro Zone
