LocationID,pickup_count,Borough,Zone,service_zone
237,194813,Manhattan,Upper East Side South,Yellow Zone
161,181787,Manhattan,Midtown Center,Yellow Zone
132,175475,Queens,JFK Airport,Airports
236,169973,Manhattan,Upper East Side North,Yellow Zone
162,130430,Manhattan,Midtown East,Yellow Zone
186,128080,Manhattan,Penn Station/Madison Sq West,Yellow Zone
142,125902,Manhattan,Lincoln Square East,Yellow Zone
230,124068,Manhattan,Times Sq/Theatre District,Yellow Zone
138,116319,Queens,LaGuardia Airport,Airports
234,109720,Manhattan,Union Sq,Yellow Zone
170,109217,Manhattan,Murray Hill,Yellow Zone
163,109172,Manhattan,Midtown North,Yellow Zone
68,105373,Manhattan,East Chelsea,Yellow Zone
79,104753,Manhattan,East Village,Yellow Zone
239,103753,Manhattan,Upper West Side South,Yellow Zone
48,93463,Manhattan,Clinton East,Yellow Zone
249,89083,Manhattan,West Village,Yellow Zone
141,88691,Manhattan,Lenox Hill West,Yellow Zone
164,84255,Manhattan,Midtown South,Yellow Zone
140,78540,Manhattan,Lenox Hill East,Yellow Zone
107,78266,Manhattan,Gramercy,Yellow Zone
238,76143,Manhattan,Upper West Side North,Yellow Zone
246,75405,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
263,72795,Manhattan,Yorkville West,Yellow Zone
229,65799,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
90,62220,Manhattan,Flatiron,Yellow Zone
114,60103,Manhattan,Greenwich Village South,Yellow Zone
113,59429,Manhattan,Greenwich Village North,Yellow Zone
231,58610,Manhattan,TriBeCa/Civic Center,Yellow Zone
43,57295,Manhattan,Central Park,Yellow Zone
262,56817,Manhattan,Yorkville East,Yellow Zone
100,53654,Manhattan,Garment District,Yellow Zone
148,50608,Manhattan,Lower East Side,Yellow Zone
143,47654,Manhattan,Lincoln Square West,Yellow Zone
144,45112,Manhattan,Little Italy/NoLiTa,Yellow Zone
137,44259,Manhattan,Kips Bay,Yellow Zone
233,43336,Manhattan,UN/Turtle Bay South,Yellow Zone
158,40760,Manhattan,Meatpacking/West Village West,Yellow Zone
211,33646,Manhattan,SoHo,Yellow Zone
151,30734,Manhattan,Manhattan Valley,Yellow Zone
87,30542,Manhattan,Financial District North,Yellow Zone
75,29855,Manhattan,East Harlem South,Boro Zone
50,29119,Manhattan,Clinton West,Yellow Zone
13,26822,Manhattan,Battery Park City,Yellow Zone
166,24314,Manhattan,Morningside Heights,Boro Zone
261,21112,Manhattan,World Trade Center,Yellow Zone
125,20176,Manhattan,Hudson Sq,Yellow Zone
41,16451,Manhattan,Central Harlem,Boro Zone
88,15700,Manhattan,Financial District South,Yellow Zone
74,14539,Manhattan,East Harlem North,Boro Zone
4,13654,Manhattan,Alphabet City,Yellow Zone
42,12045,Manhattan,Central Harlem North,Boro Zone
24,11318,Manhattan,Bloomingdale,Yellow Zone
232,11032,Manhattan,Two Bridges/Seward Park,Yellow Zone
70,11031,Queens,East Elmhurst,Boro Zone
209,10062,Manhattan,Seaport,Yellow Zone
255,8892,Brooklyn,Williamsburg (North Side),Boro Zone
45,8723,Manhattan,Chinatown,Yellow Zone
224,8666,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone
244,8462,Manhattan,Washington Heights South,Boro Zone
