功能区类型,LocationID,行政区,分区名称,上车量,下车量,出租车活动总量,上车量排名,下车量排名,地铁站数量,餐饮商业点数量,酒店旅游点数量,POI总量,上车/下车比,判断依据
交通枢纽区,132,Queens,JFK Airport,175475,34722,210197,3,42,1,19,1,21,5.054,机场、铁路枢纽或轨道换乘属性明显，出租车承担到发接驳与补充交通功能。
交通枢纽区,138,Queens,LaGuardia Airport,116319,41247,157566,9,38,0,19,0,19,2.82,机场、铁路枢纽或轨道换乘属性明显，出租车承担到发接驳与补充交通功能。
交通枢纽区,186,Manhattan,Penn Station/Madison Sq West,128080,86147,214227,6,15,4,33,1,38,1.487,机场、铁路枢纽或轨道换乘属性明显，出租车承担到发接驳与补充交通功能。
交通枢纽区,1,EWR,Newark Airport,151,8079,8230,220,70,0,37,1,38,0.019,机场、铁路枢纽或轨道换乘属性明显，出租车承担到发接驳与补充交通功能。
交通枢纽区,145,Queens,Long Island City/Hunters Point,7039,11609,18648,62,64,7,78,3,88,0.606,机场、铁路枢纽或轨道换乘属性明显，出租车承担到发接驳与补充交通功能。
商业餐饮功能区,79,Manhattan,East Village,104753,89552,194305,14,14,2,241,3,246,1.17,餐饮商业点数量较高，消费、夜间活动和服务业需求对出租车出行形成拉动。
商业餐饮功能区,7,Queens,Astoria,6879,11163,18042,63,65,4,196,1,201,0.616,餐饮商业点数量较高，消费、夜间活动和服务业需求对出租车出行形成拉动。
商业餐饮功能区,48,Manhattan,Clinton East,93463,90713,184176,16,13,1,161,7,169,1.03,餐饮商业点数量较高，消费、夜间活动和服务业需求对出租车出行形成拉动。
商业餐饮功能区,249,Manhattan,West Village,89083,71858,160941,17,23,4,127,0,131,1.24,餐饮商业点数量较高，消费、夜间活动和服务业需求对出租车出行形成拉动。
商业餐饮功能区,181,Brooklyn,Park Slope,4262,12058,16320,78,61,6,137,0,143,0.353,餐饮商业点数量较高，消费、夜间活动和服务业需求对出租车出行形成拉动。
酒店旅游功能区,87,Manhattan,Financial District North,30542,40747,71289,41,40,4,56,10,70,0.75,酒店旅游点数量较高，游客到访、住宿接驳和目的地访问需求较强。
酒店旅游功能区,164,Manhattan,Midtown South,84255,81620,165875,19,18,2,110,10,122,1.032,酒店旅游点数量较高，游客到访、住宿接驳和目的地访问需求较强。
酒店旅游功能区,163,Manhattan,Midtown North,109172,98827,207999,12,12,2,54,7,63,1.105,酒店旅游点数量较高，游客到访、住宿接驳和目的地访问需求较强。
酒店旅游功能区,144,Manhattan,Little Italy/NoLiTa,45112,41206,86318,35,39,6,116,7,129,1.095,酒店旅游点数量较高，游客到访、住宿接驳和目的地访问需求较强。
酒店旅游功能区,146,Queens,Long Island City/Queens Plaza,3503,3879,7382,85,98,4,24,9,37,0.903,酒店旅游点数量较高，游客到访、住宿接驳和目的地访问需求较强。
综合功能区,161,Manhattan,Midtown Center,181787,150598,332385,2,3,2,83,6,91,1.207,出租车活动强度和多类POI均处于高值，兼具交通、商业、旅游和综合服务功能。
综合功能区,230,Manhattan,Times Sq/Theatre District,124068,116292,240360,8,4,6,91,14,111,1.067,出租车活动强度和多类POI均处于高值，兼具交通、商业、旅游和综合服务功能。
综合功能区,234,Manhattan,Union Sq,109720,99091,208811,10,11,6,92,7,105,1.107,出租车活动强度和多类POI均处于高值，兼具交通、商业、旅游和综合服务功能。
综合功能区,162,Manhattan,Midtown East,130430,111817,242247,5,6,4,48,7,59,1.166,出租车活动强度和多类POI均处于高值，兼具交通、商业、旅游和综合服务功能。
综合功能区,237,Manhattan,Upper East Side South,194813,177268,372081,1,1,4,45,3,52,1.099,出租车活动强度和多类POI均处于高值，兼具交通、商业、旅游和综合服务功能。
