测站,点号,视距读数,,水准尺读数,,读数差,高差,高程,备注,累计高差
,后视,后视距1,后视距2,后尺读数1,后尺读数2,,,,,
,前视,前视距1,前视距2,前尺读数1,前尺读数2,,,,,
,中视,视距差,累积视距差,高差,高差,,,,,
1,B01(后),37.83,37.83,1.4847,1.4848,-0.0001,,500,K1至K3,0.20665
,P01(前),37.92,37.92,1.3593,1.3593,0,0.12545,500.12545,,
,,-0.09,-0.09,0.1254,0.1255,-0.0001,,,,
2,P01(后),46.33,46.33,1.8552,1.8551,0.0001,,500.12545,,
,P02(前),46.5,46.5,1.3517,1.3518,-0.0001,0.5034,500.62885,,
,,-0.17,-0.26,0.5035,0.5033,0.0002,,,,
3,P02(后),39.44,39.44,1.2175,1.2174,0.0001,,500.62885,,
,P03(前),39.71,39.71,1.5605,1.5603,0.0002,-0.34295,500.2859,,
,,-0.27,-0.53,-0.343,-0.3429,-0.0001,,,,
4,P03(后),36.98,36.98,1.5081,1.5079,0.0002,,500.2859,,
,P04(前),37.19,37.19,1.3154,1.3152,0.0002,0.1927,500.4786,,
,,-0.21,-0.74,0.1927,0.1927,0,,,,
5,P04(后),20.68,20.68,1.4038,1.404,-0.0002,,500.4786,,
,P05(前),20.16,20.16,1.5068,1.5069,-0.0001,-0.10295,500.37565,,
,,0.52,-0.22,-0.103,-0.1029,-0.0001,,,,
6,P05(后),16.684,16.686,1.3676,1.3677,-0.0001,,500.37565,,
,P06(前),16.495,16.499,1.5367,1.5366,0.0001,-0.169,500.20665,,
,,0.188,-0.032,-0.1691,-0.1689,-0.0002,,,,
7,P06(后),38.86,38.87,1.5972,1.5971,0.0001,,500.20665,K3至K4,0.62735
,P07(前),38.82,38.82,1.2705,1.2704,0.0001,0.3267,500.53335,,
,,0.045,0.013,0.3267,0.3267,0,,,,
8,P07(后),38.29,38.29,1.3963,1.3965,-0.0002,,500.53335,,
,P08(前),39.09,39.1,1.1859,1.186,-0.0001,0.21045,500.7438,,
,,-0.805,-0.792,0.2104,0.2105,-0.0001,,,,
9,P08(后),29.09,29.08,1.4439,1.4438,0.0001,,500.7438,,
,P09(前),28.76,28.76,1.3723,1.3724,-0.0001,0.0715,500.8153,,
,,0.325,-0.467,0.0716,0.0714,0.0002,,,,
10,P09(后),26.41,26.42,1.4079,1.4078,0.0001,,500.8153,,
,P10(前),26.57,26.57,1.4423,1.4425,-0.0002,-0.03455,500.78075,,
,,-0.155,-0.622,-0.0344,-0.0347,0.0003,,,,
11,P10(后),29.88,29.87,1.3783,1.3782,0.0001,,500.78075,,
,P11(前),29.48,29.48,1.303,1.3029,0.0001,0.0753,500.85605,,
,,0.395,-0.227,0.0753,0.0753,0,,,,
12,P11(后),33.32,33.31,1.2104,1.2104,0,,500.85605,,
,P12(前),33.53,33.52,1.2325,1.2324,0.0001,-0.02205,500.834,,
,,-0.21,-0.437,-0.0221,-0.022,-0.0001,,,,
13,P12(后),46.91,46.9,1.4186,1.4187,-0.0001,,500.834,K4至K1,-0.83445
,P13(前),46.97,46.97,1.4651,1.4651,0,-0.04645,500.78755,,
,,-0.065,-0.502,-0.0465,-0.0464,-0.0001,,,,
14,P13(后),43.98,43.98,1.2746,1.2745,0.0001,,500.78755,,
,P14(前),44.2,44.19,1.5094,1.5093,0.0001,-0.2348,500.55275,,
,,-0.215,-0.717,-0.2348,-0.2348,0,,,,
15,P14(后),43.88,43.88,1.2219,1.2218,0.0001,,500.55275,,
,P15(前),43.61,43.61,1.5588,1.5587,0.0001,-0.3369,500.21585,,
