#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 00 999 99.0 99.0  0.93  9.09  3.93  53 9999.0 999.0  23.3 999.0 99.0 99.00
2017 01 01 00 30 999 99.0 99.0  0.90  3.85  3.85 121 9999.0 999.0  23.4 999.0 99.0 99.00
2017 01 01 01 00 999 99.0 99.0  0.88  9.09  3.96  46 9999.0 999.0  23.4 999.0 99.0 99.00
2017 01 01 01 30 999 99.0 99.0  0.88  9.09  3.83  52 9999.0 999.0  23.4 999.0 99.0 99.00
2017 01 01 02 00 999 99.0 99.0  0.82  9.09  3.92  54 9999.0 999.0  23.4 999.0 99.0 99.00
2017 01 01 02 30 999 99.0 99.0  0.90  8.33  4.07  50 9999.0 999.0  23.4 999.0 99.0 99.00
2017 01 01 03 00 999 99.0 99.0  0.85  9.88  4.25  53 9999.0 999.0  23.4 999.0 99.0 99.00
2017 01 01 03 30 999 99.0 99.0  0.88  3.85  4.07 116 9999.0 999.0  23.4 999.0 99.0 99.00
2017 01 01 04 00 999 99.0 99.0  0.88  3.57  4.07 123 9999.0 999.0  23.3 999.0 99.0 99.00
2017 01 01 04 30 999 99.0 99.0  0.92  4.00  4.05 128 9999.0 999.0  23.2 999.0 99.0 99.00
2017 01 01 05 00 999 99.0 99.0  0.96  3.85  3.90 126 9999.0 999.0  23.2 999.0 99.0 99.00
2017 01 01 05 30 999 99.0 99.0  1.04  4.00  3.90 121 9999.0 999.0  23.2 999.0 99.0 99.00
2017 01 01 06 00 999 99.0 99.0  0.97  4.76  3.85 111 9999.0 999.0  23.2 999.0 99.0 99.00
2017 01 01 06 30 999 99.0 99.0  1.00  4.17  3.86 123 9999.0 999.0  23.2 999.0 99.0 99.00
2017 01 01 07 00 999 99.0 99.0  1.01  4.17  3.92 129 9999.0 999.0  23.3 999.0 99.0 99.00
